10000812,2,5
10000743,1,7
10000812,1,8
10000925,2,5
30000271,5,6
10000005,2,8
30030540,1,6
30029259,1,7
30030664,2,10
10000757,2,10
30026748,2,5
10000005,1,5
30029475,1,8
30030540,2,9
30031929,5,8
30031910,2,8
30031882,2,10
30031950,2,8
10000808,2,8
30028628,2,8
30029259,2,6
10000913,2,9
30032215,1,7
30032281,2,7
30031933,3,6
30031933,2,6
30032315,2,10
30031781,3,9
30032322,5,6
30032324,1,6
30032324,2,9
30000267,4,7
30031921,2,5
30032356,1,5
30032164,1,9
30028628,1,10
30032371,1,7
30032294,2,6
30032322,2,6
10000716,1,8
30032294,1,8
30032395,4,7
10001029,2,10
10001036,1,7
30030265,2,10
30031781,2,8
30032430,1,6
30032431,1,6
30032485,2,7
10001030,1,7
30032485,1,7
30032487,1,9
30032448,1,8
30032456,1,10
30032469,1,8
30032512,1,10
30032513,1,5
30032556,1,7
10000621,2,7
30030265,1,6
30032164,2,9
30032564,1,8
30032570,2,6
30032571,1,6
30032575,1,8
30032491,1,9
30032583,1,6
30032587,2,8
10000627,1,10
10000757,1,8
30032460,2,7
30032561,1,8
30032607,1,10
30032547,1,6
30032592,1,10
30032610,1,10
30032452,1,7
30032613,1,7
30032625,1,6
10000775,1,5
30032164,5,5
30032635,1,6
30032641,3,7
10000899,1,7
30032597,1,8
30032614,1,6
10001036,3,10
10000788,2,10
30031937,3,8
30032546,1,5
30032609,1,5
30032666,2,6
30032682,2,7
30032684,2,6
30032675,2,6
30029475,4,10
30032680,1,5
30032692,1,10
30032696,1,9
30032675,1,9
10001036,2,8
30032615,1,6
30032668,1,9
30032670,1,7
30032587,4,9
30032637,1,9
30032724,1,5
30032727,1,8
30031937,1,6
30032738,2,6
30032616,1,7
30032679,1,10
30032745,2,6
30032752,1,5
30032640,2,8
30032722,1,5
30032736,1,7
30032756,4,8
10000788,1,6
30032787,2,10
30032725,1,10
30032666,1,9
30031627,1,5
30032164,3,8
30032737,1,10
30032694,1,9
30032780,1,10
10000866,3,5
30032781,1,7
30032789,1,9
30032810,1,6
30032815,2,10
30032816,2,10
10001053,1,6
30032697,1,6
30032801,1,6
30032806,1,5
30032837,1,6
30032785,2,6
30032794,1,7
30032846,1,7
10000757,4,6
30032755,2,9
30032785,1,7
30032791,1,9
30032863,1,8
30032832,1,5
30032792,1,9
30032785,4,5
10001156,2,7
30032576,1,5
10000716,4,5
10001157,1,8
30031950,1,9
30032705,1,7
30032793,1,6
30032870,1,10
30032893,1,9
30032888,2,9
10000808,4,6
10001180,1,6
10001220,1,7
10001005,1,10
30032871,1,6
30032912,1,9
30032913,2,7
10001041,1,8
30032838,1,8
30032923,1,10
10001218,1,9
30032916,1,5
30032897,1,5
10000866,4,5
30032910,1,10
30032903,1,9
30032911,1,7
30032816,1,9
30032952,1,8
30032955,2,8
10000866,2,9
30032281,1,10
30032956,1,5
30032959,1,6
30032963,1,10
30000267,2,6
30010061,2,10
30032815,1,7
10001019,1,8
30032940,1,6
30032969,1,10
30031937,2,9
30032941,1,6
30032962,1,7
30029475,3,10
10001219,1,7
30033007,1,5
30033009,1,6
30032989,1,10
30032995,1,9
30033006,1,6
30033025,1,6
10001234,1,8
30031937,4,7
30032996,1,7
30032745,1,6
30033038,1,7
30033045,1,5
30033051,2,8
30033039,1,8
10001253,1,5
30031937,5,5
30033067,1,7
30033076,1,9
30033010,1,6
30032469,2,7
30033056,1,8
30033058,1,5
30033085,1,7
30033087,1,10
10000866,5,5
30032966,1,8
30033093,1,9
30033109,1,9
30033110,1,6
30033111,1,9
30033050,1,7
30033113,2,9
30033052,1,5
10000913,1,7
30029475,2,7
30033046,1,9
10001282,1,9
30033045,2,6
10000866,1,5
30033138,1,6
30033144,2,8
10000716,2,6
30033152,1,6
30033094,1,6
30033189,1,8
30033191,1,5
30033192,1,6
10001283,2,6
30033197,1,8
30033095,1,6
30033198,1,5
30033182,1,8
30033217,1,9
30031921,1,6
30031933,1,6
30033224,1,10
10001285,1,7
30033212,1,6
30033224,2,9
10000794,1,6
10000775,5,8
30033252,1,9
30033257,1,6
30033275,1,8
30033291,2,10
10000946,1,5
30033244,1,6
30033218,1,6
30033113,1,10
10001298,1,7
30030664,1,7
30033237,1,5
30033356,1,8
10001283,1,9
10000716,5,8
10001310,1,7
10000775,2,5
30033385,1,7
30033386,1,7
30033369,1,8
30033361,1,5
10001290,1,9
10001311,1,6
10000773,1,9
30033218,5,8
30033428,1,6
30033410,1,5
30033218,4,10
30033073,2,5
30026748,1,5
30033218,8,8
30033462,1,6
30033467,2,9
10001043,1,10
30033479,2,9
30032437,1,7
10000716,3,9
30033531,1,8
10001364,1,8
30032570,1,5
30032612,1,9
30033614,1,8
10000808,1,7
10001400,2,5
10001296,1,10
10001296,3,6
30026748,3,7
30031882,1,10
30033073,1,8
30033633,1,8
30033634,1,7
30033638,1,8
30033640,1,9
10001290,3,6
10001286,1,6
30033645,2,7
30033648,1,10
10000621,1,5
30033726,1,5
10001399,1,6
30033728,1,5
30033218,2,8
10001043,7,9
10001043,4,5
10001043,3,5
10000925,1,6
10001397,1,5
10001043,2,5
10001400,1,5
